小雨,Lily
旭旭,Max
周宇,John Carter
肖珊,Sandy Blake
秋莹莹,Emily Autumn
周母,Mrs. Carter
莹莹,Emily
双龙集团/双龙,Double Dragon Group
金总,Mr. Gold
双龙湾/双珑湾,Double Dragon Bay
万豪集团/万豪,Marriott Group
秦路明,Luke Marshall
秦叔叔,Uncle Luke
周家,Carter Family
周鑫,Alex Carter
小晴,Claire
周旭,Max Carter
姗姗,Sandy
秦总,Mr. Marshall
赌石大会,Gemstone Gambling Convention
周太太,Mrs. Carter
外婆家,Grandma's Place
秦家,Marshall Family
陈特助,Assistant Chan
秋女士,Mrs. Autumn
双珑湾地产合作协议,Double Dragon Bay Real Estate Cooperation Agreement
海市翡翠原石拍卖会,Seaside Jade Raw Stone Auction
路明,Luke
海城,Seaside City
秦氏集团,Marshall Group
周氏集团,Carter Corporation
刘会长,Director Anderson
金叔叔,Uncle Gold
珠宝设计大赛,Jewelry Design Contest
郁金香庄园,Tulip Manor
海伦女士,Ms. Helen
海伦大师,Master Helen
星耀珠宝,Stellar Jewelry
海城新闻电视台,Seaside News Network
海市珠宝协会,Seaside Jewelers Association
小毛,Molly
海城新闻电视台,Seaside News Network
小雨替妈妈诉苦。秦路明自责。,
